ID,Full Name,Owner CTU ID,Owned,Founder Lines
CTC569,MM U14-M4,CTU1,No,Quattro Line; Pawfriends Line; Daikon Line
CTC57,MM Chantilly,CTU1,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC570,MM Unita,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC571,MM Uvala,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC572,MM Upsy,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC573,MM Umbra,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC574,MM Voodoo Kassy,CTU2,No,Quattro Line; Pawfriends Line; Daikon Line
CTC575,MM Pearl,CTU7,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC576,MM Opal,CTU7,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC577,MM W14-M1,CTU1,No,Quattro Line; Pawfriends Line; Daikon Line
CTC578,MM W14-M2,CTU1,No,Quattro Line; Pawfriends Line; Daikon Line
CTC579,MM Wicky,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC58,M3 Cooper,,No,
CTC580,MM Whoopy,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC581,MM Gin,CTU7,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC582,MM Brownie,CTU7,Yes,Pawfriends Line
CTC583,MM Xavi,CTU2,Yes,Pawfriends Line
CTC584,MM Xayah,CTU9,Yes,Pawfriends Line
CTC585,MM Overbaked,CTU7,Yes,Pawfriends Line
CTC586,MM Y14-M1,CTU2,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC587,MM Yeera,CTU2,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC588,MM Z14-M3,CTU1,No,Pawfriends Line
CTC589,MM Z14-M1,CTU1,No,Pawfriends Line
CTC59,RM Safiya,,No,
CTC590,MM Blitz,CTU24,Yes,Pawfriends Line
CTC591,MM Fiddich,CTU1,No,Pawfriends Line
CTC592,MM Zumi,CTU9,Yes,Pawfriends Line
CTC593,MM Zira,CTU9,Yes,Pawfriends Line
CTC594,MM Z14-M4,CTU1,No,Pawfriends Line
CTC595,MM Z14-M2,CTU1,No,Pawfriends Line
CTC597,SLM'S Lilo,,Yes,Legacy Red Line; Polish Line
CTC60,LH Lucia,,No,
CTC601,SLM'S Dobby von Zaandam,,Yes,
CTC61,MMM Quattro,,No,Quattro Line
CTC618,MM Armani,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC619,MM A15-M2,CTU1,No,Quattro Line; Pawfriends Line; Daikon Line
CTC62,LH Yara,,No,
CTC620,MM A15-M3,CTU1,No,Quattro Line; Pawfriends Line; Daikon Line
CTC621,MM A15-F1,CTU1,No,Quattro Line; Pawfriends Line; Daikon Line
CTC622,MM Chardonay,CTU7,Yes,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC623,MM Chikaka,CTU1,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC624,M1,CTU1,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC625,MM B15-M2,CTU1,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC626,MM B15-M3,CTU1,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC628,SLM'S Steelix,,Yes,
CTC629,SLM'S BlueBelle,,Yes,Legacy Red Line; Polish Line
CTC63,DA MP2-M2,,No,
CTC630,SLM'S Swablu,,Yes,Legacy Red Line; Polish Line
CTC631,SLM'S Ocean,,Yes,Legacy Red Line; Polish Line
CTC638,MM Calimero,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC639,MM D15-M1,CTU2,No,Legacy Red Line; Polish Line; Quattro Line
CTC64,NOX Misu,,No,
CTC640,MM D15-F1 Kassy,CTU2,No,Legacy Red Line; Polish Line; Quattro Line
CTC641,MM D15-F2 Kassy,CTU2,No,Legacy Red Line; Polish Line; Quattro Line
CTC642,MM Dahlia,CTU9,Yes,Legacy Red Line; Polish Line; Quattro Line
CTC643,MM E15-M1,CTU1,No,Legacy Red Line
CTC644,MM E15-M2,CTU1,No,Legacy Red Line
CTC645,MM E15-F1,CTU2,Yes,Legacy Red Line
CTC646,MM Furby,CTU2,Yes,Legacy Red Line; Polish Line; Quattro Line; Pawfriends Line; Daikon Line
CTC648,MM Fabiosa,CTU2,Yes,Legacy Red Line; Polish Line; Quattro Line; Pawfriends Line; Daikon Line
CTC649,MM G15-M1,CTU1,No,
CTC65,M3 Mottley,,No,
CTC650,MM G15-F1 Elise,CTU2,No,
CTC651,MM Gaia,CTU9,Yes,
CTC656,MM's Nelson,CTU10,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC657,SLM's Cocoa,,Yes,
CTC658,SLM's Pluck,,Yes,Legacy Red Line; Polish Line
CTC66,MM Omega,CTU1,No,
CTC661,SLM's Sir Fluffington,,Yes,
CTC662,SLM's HachiMitsu,,Yes,
CTC663,SLM's Blacka,,Yes,
CTC664,SLM's Midnight,,Yes,
CTC67,Giulia,CTU2,No,
CTC672,MM Binx,CTU24,Yes,Quattro Line
CTC679,SLM's No Name,,Yes,
CTC68,Chiara,CTU2,No,
CTC680,M1,,Yes,Legacy Red Line; Polish Line
CTC681,F1,,Yes,Legacy Red Line; Polish Line
CTC682,F2,,Yes,Legacy Red Line; Polish Line
CTC683,M2,,Yes,Legacy Red Line; Polish Line
CTC684,M3,,Yes,Legacy Red Line; Polish Line
CTC685,F4,,Yes,Legacy Red Line; Polish Line
CTC686,F3,,Yes,Legacy Red Line; Polish Line
CTC687,M2,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC688,M1,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC689,M4,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC69,RM Breezer,,No,
CTC690,M5,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC691,M6,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC692,F5,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC693,F3,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC694,F4,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC695,M3,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC696,F2,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC697,F1,,Yes,Legacy Brindle Line; Legacy Merle Line 2
CTC698,MM's Lazuli (Lazeltje),CTU10,Yes,Legacy Red Line; Polish Line
CTC699,MM's (Silver) Spoon,CTU10,Yes,
CTC70,Bianca,CTU2,No,
CTC700,SLM's Big Boy,,Yes,
CTC701,SLM's Snow White,,Yes,
CTC702,SLM's CupCake,,Yes,
CTC703,SLM's Onyx,,Yes,
CTC704,SLM's Oozara,,Yes,
CTC705,SLM's Si,,Yes,
CTC706,SLM's Tijger,,Yes,
CTC707,MM's Bubbles,CTU10,Yes,Legacy Red Line; Polish Line
CTC710,SLM's Swoop,,No,
CTC711,SLM's Spook,,No,
CTC712,SLM's Goosebumps,,Yes,Legacy Red Line; Polish Line
CTC723,SLM's Doblo,,Yes,Legacy Red Line; Polish Line
CTC725,SLM's Rintin,,Yes,Legacy Red Line; Polish Line
CTC730,SLM's Prosecco,,Yes,Legacy Red Line; Polish Line
CTC731,SLM's Veneto,,Yes,Legacy Red Line; Polish Line
CTC733,TnS Liichi,,Yes,
CTC734,TnS Fuyumi,,Yes,
CTC735,TnS Qoro,,Yes,
CTC736,TnS Nozomu,,Yes,
CTC737,TnS Merlin,,Yes,
CTC738,TnS Liyuu,,Yes,
CTC739,Ray's Ramen,,No,
CTC740,TnS Ran,,Yes,
CTC741,LB Irie,,No,
CTC742,TnS Okiru,,Yes,
CTC743,Ray's Dekret,,No,
CTC744,TnS Nobu,,Yes,
CTC745,LB Oishii,,No,
CTC746,TnS Risu,,Yes,
CTC747,TnS Riku,,Yes,
CTC748,TnS Inoko,,Yes,
CTC749,TnS Kiseki,,Yes,
CTC750,TnS Hiyori,,Yes,
CTC751,TnS Hiroo,,Yes,
CTC752,FF Yuko,,No,
CTC753,From MouseHouse Amai,,No,
CTC754,TnS Kakei,,Yes,
CTC755,TnS Misuzu,,Yes,
CTC756,ECLS Kiba,,No,
CTC757,TnS Terumi,,Yes,
CTC758,TnS Zettai,,Yes,
CTC759,TnS Harumi,,Yes,
CTC76,MLP Raylin,CTU2,No,Pawfriends Line
CTC760,TnS Chikara,,Yes,
CTC761,TnS Benihime,,Yes,
CTC762,TnS Hachiman,,Yes,
CTC763,FM Sumire,,No,
CTC764,TnS Poteto,,Yes,
CTC765,TnS Peji,,Yes,
CTC766,TnS Suiteki,,Yes,
CTC767,TnS Ryoko,,Yes,
CTC768,TnS Iroha,,Yes,
CTC769,MM Zense,CTU2,No,
CTC77,Azzura,CTU2,No,
CTC770,TnS Moka,,Yes,
CTC771,TnS Bakebi,,Yes,
CTC772,TnS Junzen,,Yes,
CTC773,TnS Ninko,,Yes,
CTC774,TnS Naoko,,Yes,
CTC776,ECLS Hoshi,,No,
CTC777,TnS Hanako,,Yes,
CTC778,TnS Kujaku,,Yes,
CTC779,Ray's Qiqi,,No,
CTC78,MM Zelesta,CTU1,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC780,TnS Natsuki,,Yes,
CTC781,KW Satoshi,,No,
CTC782,TnS Akimi,,Yes,
CTC783,MM Diego,CTU1,No,
CTC784,FR Tikka,,No,
CTC785,TnS Takiyo,,Yes,
CTC786,TnS Hakuko,,Yes,
CTC787,MMM Iyabo,,No,
CTC788,MM Peen,CTU1,Yes,
CTC789,MMM Abracadabra,,No,
CTC79,MM Zoltara,CTU2,No,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC790,MMM A+,,No,
CTC791,TnS Umai,,Yes,
CTC792,TnS Nesshin,,Yes,
CTC793,TnS Onu,,Yes,
CTC794,TnS Noboru,,Yes,
CTC804,DM Vitan,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC805,DM Asha,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC806,MF Tamala,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line
CTC807,MF Cotija,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line
CTC808,MM Aslan,CTU1,Yes,Legacy Red Line; Polish Line
CTC809,RM Ripton,CTU2,Yes,Legacy Red Line; Polish Line
CTC810,MD Camille,,Yes,Quattro Line
CTC811,MD Sylvie,,Yes,Quattro Line
